開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0976,05UG016,通識,G,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,江政杰,五 1-2 公館 理圖801,50,56,,
0977,05UG016,通識,H,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,江政杰,五 3-4 公館 理圖801,50,51,,
0978,05UG016,通識,I,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,張凌倩,五 9-10 本部 教401,50,52,,
0979,05UG016,通識,J,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,黃芳蘭,五 9-10 公館 理圖801,50,52,,
0980,05UG017,通識,,,,是,,,資料科學與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Data Science and Computer Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,林耘逸,二 9-10 本部 教402,50,59,,
0981,05UG019,通識,A,,,,,,行動App程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Mobile App Development [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,劉建成,二 6-7 公館 理圖801,50,54,,◎數位課程
0982,05UG019,通識,B,,,,,,行動App程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Mobile App Development [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,劉建成,四 6-7 本部 教402,50,47,,
0983,05UG020,通識,A,,,,,,統計學 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：社會科學 學院共同課程 ],Statistics [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,林小慧,三 3-4 本部 教201演講廳,100,111,,
0984,05UG020,通識,B,,,,,,統計學 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：社會科學 學院共同課程 ],Statistics [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,何英奇,二 6-7 本部 教401,50,64,,
0985,05UG021,通識,A,,,,,,試算表進階應用與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Advanced Applications of Spreadsheets and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,吳清輝,一 6-7 本部 教401,50,54,,
